filename,test_name,test_id,issue_severity,issue_confidence,issue_text,line_number,line_range,more_info
0011ba98d5fd5014f05fac670c60e397.py,blacklist,B311,LOW,HIGH,Standard pseudo-random generators are not suitable for security/cryptographic purposes.,56,[56],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b311-random
0011ba98d5fd5014f05fac670c60e397.py,blacklist,B311,LOW,HIGH,Standard pseudo-random generators are not suitable for security/cryptographic purposes.,56,[56],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b311-random
00331c6ff8fd2334de68a52ef0cd79c2.py,blacklist,B410,LOW,HIGH,Using objectify to parse untrusted XML data is known to be vulnerable to XML attacks. Replace objectify with the equivalent defusedxml package.,14,[14],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_imports.html#b410-import-lxml
005b067e1e8ccc1bd60e21ef2766b502.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,63,[63],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
00784cb55a18e2ad653257391b7a6190.py,blacklist,B404,LOW,HIGH,Consider possible security implications associated with subprocess module.,19,[19],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_imports.html#b404-import-subprocess
00784cb55a18e2ad653257391b7a6190.py,subprocess_without_shell_equals_true,B603,LOW,HIGH,subprocess call - check for execution of untrusted input.,32,"[32, 33]",https://bandit.readthedocs.io/en/latest/plugins/b603_subprocess_without_shell_equals_true.html
00784cb55a18e2ad653257391b7a6190.py,subprocess_without_shell_equals_true,B603,LOW,HIGH,subprocess call - check for execution of untrusted input.,48,[48],https://bandit.readthedocs.io/en/latest/plugins/b603_subprocess_without_shell_equals_true.html
01102f2e8b1901be273a.py,start_process_with_a_shell,B605,LOW,HIGH,"Starting a process with a shell: Seems safe, but may be changed in the future, consider rewriting without shell",9,[9],https://bandit.readthedocs.io/en/latest/plugins/b605_start_process_with_a_shell.html
01102f2e8b1901be273a.py,start_process_with_partial_path,B607,LOW,HIGH,Starting a process with a partial executable path,9,[9],https://bandit.readthedocs.io/en/latest/plugins/b607_start_process_with_partial_path.html
01102f2e8b1901be273a.py,hardcoded_password_string,B105,LOW,MEDIUM,Possible hardcoded password: 'token',29,[29],https://bandit.readthedocs.io/en/latest/plugins/b105_hardcoded_password_string.html
