4524784.py,bruth,80,61,73,3
207664884c93c4fa7d7c.py,lelandbatey,67,33,37,8
4169164.py,jesseh,15,5,5,0
5768245.py,ivanyu,59,9,46,80
6625609.py,metatoaster,87,33,23,7
1068868.py,jtrain,41,15,9,4
26f547457522755cb1fb8739d0ea89a1.py,eevee,87,102,1057,0
4117933.py,hltbra,70,62,273,115
de261e66949009f44ad2.py,ExpandOcean,23,6,3,4
10980172.py,pyos,29,5,94,1
8335237.py,pauloalem,55,11,27,30
6417872.py,ramalho,152,60,1850,14
7b8afa9214b01c66bd594b328aca8f92.py,kerriop,22,5,2,2
aa24d81a892ac3d0593b.py,yishaiSilver,3,5,0,2
85fb43e40a7839e13405.py,lbenitez000,5,3,3,1
2e003acd6f10b902d09e96b6f754d31a.py,x0rz,6,14,2604,0
fb0c48d2462e3cc3c8e0.py,lsheble,9,21,4,20
4643396.py,mywaiting,44,17,13,24
5521548.py,mrjoes,27,51,405,1
4536459.py,preshing,15,13,599,16
d5e7f1460ea00376ab0a18577b18d475.py,OswaldoHacker,0,7,0,0
9082229.py,Juanlu001,167,98,471,1012
cf69187ee12394b78047.py,SalchiPapa,279,388,105,320
1362a8908be01e23041d.py,pudquick,95,193,220,0
67bc50fed5d4dc08b844d45479bebe75.py,kkweon,119,48,78,72
517992b75bc56620cef2.py,cuu508,40,9,26,5
309bed093f6a7084c855.py,chenryn,36,11,487,60
c7ec9a30052127c7a1ad169eeb83f159.py,danijar,59,22,705,36
ed884c433c495075f000.py,alexeygrigorev,64,24,236,0
5415120.py,echohack,22,35,30,15
044682e76def583a12e6c09209c664a1.py,bbengfort,133,221,397,113
6701218.py,humanium,0,9,5,2
6209913.py,onesandzeroes,22,9,0,0
8265164.py,eastlakecoder,1,14,0,0
6030453.py,dengemann,67,78,83,44
579547.py,justinabrahms,126,63,500,90
9716578.py,asarver,16,7,15,14
1208215.py,Jach,34,23,14,6
1106488.py,filippo,10,27,13,12
2915875.py,wolever,97,134,264,9
3691418.py,JaHIY,51,46,51,29
63e115cc0c79b4f6b8b3a6b797e485c7.py,mdonkers,19,10,22,0
c2694a1de478ec417ee8.py,cchurch,37,17,54,65
16e35ed936bab863a29b.py,fsarradin,28,32,52,69
2891437.py,mprihoda,25,4,3,0
9b2b3e8a6c67697279d3724dce5dab3c.py,chriddyp,73,109,423,25
3340802.py,lerks,25,11,28,5
1a427e2f52444f45280f30215d5a92d9.py,JayH5,74,68,28,4
3624478.py,THeK3nger,47,10,63,26
a6eb692e5a0af7cc266b.py,tkanmae,14,19,3,0
c437c65af2501acda9c7.py,atx,56,12,34,1
8378133.py,philipnilsson,25,16,23,3
5605160.py,benjaoming,124,11,109,53
1381489.py,justinfx,29,61,203,8
92cf03b78a6d8ec11d72.py,whitmo,173,130,77,45
4682580.py,temporaer,46,6,39,1
7407932.py,nairteashop,4,2,8,0
092633087d56b8782bb003282e9a8950.py,ratulbasak,26,16,12,15
85ad008aef5585cec017f4f1e6d67a02.py,wiseodd,16,6,807,0
7804540.py,pfote,8,12,14,1
d35ab8446922179dc58c.py,igrr,28,25,1269,2
10335601.py,Rapptz,40,50,342,1
0c7ccae5d764ff61788fc626096e5688.py,jcubic,83,33,105,0
314085fffa200de9c3da.py,fchollet,8,10,8199,0
234c3097f607a32f217178322bdf4e75.py,hayd,183,29,117,4
11f0647d9bd747062e5d.py,pce,12,25,13,20
1038987.py,codysoyland,64,23,143,96
1729289.py,mrchilds,15,25,9,2
a96698e3bf4a651daa674c32e4e8c3ac.py,ashkanRmk,24,17,119,20
c97fe158082000ae06ad624527433de6.py,vladris,31,11,32,8
c6de2f988c9d3f01af3c.py,robinkraft,44,128,36,10
5e82d57c915efafa769f.py,temoto,64,60,72,35
6616989.py,jneen,135,36,244,49
